anonymous_id,original_image_id,prompt_group,prompt_id,seed,source_file,anonymous_file
S01,A1_seed42,A,A1,42,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A1\A1_seed42.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S01.png
S02,A1_seed54321,A,A1,54321,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A1\A1_seed54321.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S02.png
S03,A1_seed6060,A,A1,6060,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A1\A1_seed6060.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S03.png
S04,A2_seed42,A,A2,42,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A2\A2_seed42.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S04.png
S05,A2_seed512,A,A2,512,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A2\A2_seed512.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S05.png
S06,A2_seed13579,A,A2,13579,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A2\A2_seed13579.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S06.png
S07,A3_seed42,A,A3,42,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A3\A3_seed42.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S07.png
S08,A3_seed512,A,A3,512,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\A3\A3_seed512.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S08.png
S09,B1_seed314,B,B1,314,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B1\B1_seed314.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S09.png
S10,B1_seed4096,B,B1,4096,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B1\B1_seed4096.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S10.png
S11,B1_seed54321,B,B1,54321,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B1\B1_seed54321.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S11.png
S12,B2_seed42,B,B2,42,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B2\B2_seed42.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S12.png
S13,B2_seed888,B,B2,888,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B2\B2_seed888.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S13.png
S14,B2_seed31415,B,B2,31415,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B2\B2_seed31415.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S14.png
S15,B3_seed54321,B,B3,54321,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B3\B3_seed54321.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S15.png
S16,B3_seed31415,B,B3,31415,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\B3\B3_seed31415.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S16.png
S17,C1_seed512,C,C1,512,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C1\C1_seed512.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S17.png
S18,C1_seed888,C,C1,888,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C1\C1_seed888.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S18.png
S19,C1_seed2048,C,C1,2048,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C1\C1_seed2048.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S19.png
S20,C2_seed42,C,C2,42,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C2\C2_seed42.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S20.png
S21,C2_seed54321,C,C2,54321,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C2\C2_seed54321.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S21.png
S22,C3_seed31415,C,C3,31415,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C3\C3_seed31415.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S22.png
S23,C3_seed54321,C,C3,54321,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\C3\C3_seed54321.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S23.png
S24,D1_seed314,D,D1,314,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\candidate_generation_e09\images\D1\D1_seed314.png,D:\AI\experiments\chinesetradscreen_sd15_lora_v1\vikor_candidates_30\images_anonymous\S24.png
