frequency_hz,flow_resistivity_pa_s_m2,thickness_m,zc_real_pa_s_m,zc_imag_pa_s_m,kc_real_rad_m,kc_imag_rad_m,zs_real_pa_s_m,zs_imag_pa_s_m,alpha,aeq_one_face_m2,aeq_two_faces_m2
125,12000,0.03,930.02395006,-792.130544547,6.48833982589,-6.13580951589,345.474678605,-4542.64158465,0.0269206012442,0.116296997375,0.23259399475
160,12000,0.03,855.368445034,-677.704015934,7.54443391446,-6.74257951899,322.079194108,-3570.61901234,0.0400564338603,0.173043794276,0.346087588553
200,12000,0.03,797.209989575,-588.562965113,8.68739805454,-7.34252953284,300.76440489,-2872.41115897,0.0567454230852,0.245140227728,0.490280455456
250,12000,0.03,746.701342458,-511.146984167,10.0499787657,-7.99586267966,280.090179554,-2309.43921301,0.0796238693706,0.343975115681,0.687950231362
315,12000,0.03,701.381450762,-441.683950168,11.7451347055,-8.73387305404,260.04639464,-1839.46366434,0.1120220724,0.483935352767,0.967870705533
400,12000,0.03,660.998984652,-379.788643022,13.8725055582,-9.56839642983,241.447510407,-1448.97922454,0.157855110853,0.681934078887,1.36386815777
500,12000,0.03,628.406701946,-329.833562437,16.2860356147,-10.4197856577,226.561596159,-1152.99432714,0.215374162402,0.930416381578,1.86083276316
630,12000,0.03,599.162625799,-285.010369361,19.3243261985,-11.3815217733,214.206705157,-901.20475253,0.293617845688,1.26842909337,2.53685818675
800,12000,0.03,573.104577782,-245.070488492,23.1810111687,-12.4690285315,205.334237798,-686.406657286,0.397522855322,1.71729873499,3.43459746998
1000,12000,0.03,552.073389012,-212.835411886,27.6019697558,-13.5785139768,201.379806429,-517.663214647,0.515488970255,2.2269123515,4.453824703
