frequency,flow_resistivity,thickness,alpha
125,8000,0.03,0.0279142027046
160,8000,0.03,0.0400170963693
200,8000,0.03,0.054795939937
250,8000,0.03,0.0743339143193
315,8000,0.03,0.101100401977
400,8000,0.03,0.137956644398
500,8000,0.03,0.183486208434
630,8000,0.03,0.245351772443
800,8000,0.03,0.329002459226
1000,8000,0.03,0.42785910046
125,12000,0.03,0.0269206012442
160,12000,0.03,0.0400564338603
200,12000,0.03,0.0567454230852
250,12000,0.03,0.0796238693706
315,12000,0.03,0.1120220724
400,12000,0.03,0.157855110853
500,12000,0.03,0.215374162402
630,12000,0.03,0.293617845688
800,12000,0.03,0.397522855322
1000,12000,0.03,0.515488970255
125,16000,0.03,0.0269865444738
160,16000,0.03,0.0411147039069
200,16000,0.03,0.0595054226409
250,16000,0.03,0.0852739518572
315,16000,0.03,0.122474246599
400,16000,0.03,0.17585664289
500,16000,0.03,0.24321846675
630,16000,0.03,0.3342780128
800,16000,0.03,0.452552581777
1000,16000,0.03,0.581584377806
