frequency_hz,S12_mean_il_db,S20_mean_il_db,S12_minus_S20_db
125,7.5748947264,7.57397706131,0.000917665088912
160,8.1301423431,8.12907780476,0.00106453834387
200,8.70369925877,8.70249964219,0.00119961658046
250,9.34519593033,9.34386396981,0.00133196052811
315,10.0783603095,10.0768994984,0.00146081103753
400,10.9036745023,10.9020946324,0.00157986995653
500,11.7286864503,11.7270120783,0.00167437197521
630,12.6287079678,12.6269547788,0.00175318898972
800,13.59694634,13.5951321133,0.00181422678036
1000,14.5267130844,14.524858889,0.00185419538377
